Participant_ID,Country,Age,Gender,Position_Level,Tenure_Years,Education,Industry,Org_Size_Category,Org_Size_Numeric,TC_Score,CMC_Score,EA_Score,ALO_Score,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,CMC1,CMC2,CMC3,CMC4,CMC5,CMC6,CMC7,CMC8,EA1,EA2,EA3,EA4,EA5,EA6,EA7,EA8,ALO1,ALO2,ALO3,ALO4,ALO5,ALO6,ALO7,ALO8,OI_Score,SA_Score,OL_Score,Overall_Success,OI1,OI2,OI3,OI4,SA1,SA2,SA3,SA4,OL1,OL2,OL3,OL4,PD_Score,UA_Score,Collectivism_Score,LTO_Score,PD1,PD2,PD3,UA1,UA2,UA3,IC1,IC2,IC3,LTO1,LTO2,LTO3,Survey_Date
JP_QUANT_020,Japan,33,Male,Senior Executive,3.7,Master,Other,Small (< 100),95,2.875,4.125,4.375,4.125,3.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,5.0,4.25,6.0,5.08,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,2.67,6.0,3.33,5.33,3.0,2.0,3.0,5.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0,6.0,2025-10-08
JP_QUANT_021,Japan,56,Male,Senior Executive,11.6,Bachelor,Financial Services,Large (> 500),860,4.875,5.625,5.375,3.375,4.0,5.0,5.0,5.0,4.0,6.0,4.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,7.0,6.25,6.75,6.67,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,5.67,5.33,4.67,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,2025-11-23
JP_QUANT_022,Japan,42,Male,Team Leader,8.1,Master,Healthcare,Medium (100-500),440,5.25,4.125,4.5,4.0,6.0,5.0,7.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,4.5,5.5,5.75,5.25,5.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,5.33,5.33,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,2025-11-05
JP_QUANT_023,Japan,45,Male,Team Leader,13.1,Bachelor,Manufacturing,Large (> 500),1269,4.375,4.875,4.875,4.5,5.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0,5.0,5.0,6.0,3.0,4.0,5.0,6.0,5.0,3.0,4.0,4.0,6.0,4.0,5.0,5.0,5.75,5.25,6.0,5.67,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2.67,5.0,4.0,7.0,3.0,2.0,3.0,6.0,5.0,4.0,3.0,4.0,5.0,7.0,7.0,7.0,2025-09-26
JP_QUANT_024,Japan,33,Male,Department Head,10.9,Bachelor,Manufacturing,Small (< 100),94,3.875,2.125,3.375,2.125,5.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.25,4.42,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.67,6.33,7.0,4.67,6.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,2025-10-27
JP_QUANT_025,Japan,40,Male,Senior Executive,2.0,Bachelor,Manufacturing,Large (> 500),1334,5.25,5.375,4.0,4.125,4.0,6.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,6.0,5.5,6.25,5.92,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,3.0,3.33,5.33,6.33,3.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,5.0,6.0,7.0,6.0,2025-12-09
JP_QUANT_026,Japan,45,Female,Senior Executive,7.1,Master,Technology,Large (> 500),1703,3.875,3.25,3.25,2.125,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,4.75,4.0,5.25,4.67,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,3.67,5.33,5.33,7.0,3.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,7.0,7.0,7.0,2025-09-25
JP_QUANT_027,Japan,35,Male,Team Leader,9.9,Master,Financial Services,Large (> 500),1930,3.875,4.75,4.375,4.375,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,6.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.5,6.0,7.0,6.5,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,4.0,7.0,6.67,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,2025-09-30
JP_QUANT_028,Japan,47,Male,Department Head,2.0,Master,Healthcare,Large (> 500),1719,4.375,3.625,4.125,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,5.25,4.75,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,3.0,6.67,6.67,5.67,3.0,2.0,4.0,6.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,2025-11-21
JP_QUANT_029,Japan,39,Female,Department Head,11.9,Bachelor,Retail,Medium (100-500),410,5.75,5.5,4.625,5.0,6.0,6.0,6.0,3.0,6.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,7.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,6.75,6.0,6.5,6.42,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,4.67,4.33,3.33,6.67,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,6.0,7.0,7.0,2025-09-07
JP_QUANT_030,Japan,42,Male,Senior Executive,2.0,Master,Other,Medium (100-500),361,4.375,4.875,4.25,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,6.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,7.0,6.0,6.75,6.58,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,2.33,5.0,4.67,6.67,2.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,6.0,7.0,2025-09-27
JP_QUANT_031,Japan,39,Male,Senior Executive,4.7,Bachelor,Manufacturing,Large (> 500),1942,3.375,3.25,3.5,3.625,3.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,5.75,5.0,5.5,5.42,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,4.67,6.0,4.67,4.33,4.0,5.0,5.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,2025-09-11
JP_QUANT_032,Japan,59,Male,Senior Executive,15.9,Master,Healthcare,Medium (100-500),242,3.625,3.5,4.75,4.375,4.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.75,5.25,5.5,5.5,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.33,6.67,4.67,5.67,6.0,5.0,5.0,7.0,6.0,7.0,5.0,5.0,4.0,6.0,6.0,5.0,2025-12-10
JP_QUANT_033,Japan,44,Male,Department Head,4.3,Bachelor,Healthcare,Small (< 100),89,3.125,3.875,4.125,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.25,4.5,6.0,5.25,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.33,4.33,6.0,5.67,5.0,6.0,5.0,4.0,5.0,4.0,7.0,6.0,5.0,6.0,5.0,6.0,2025-09-08
JP_QUANT_034,Japan,36,Female,Department Head,11.9,Bachelor,Healthcare,Large (> 500),1624,3.25,3.625,4.5,4.125,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.25,4.25,6.25,5.25,6.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,6.0,6.0,7.0,6.0,5.0,5.33,4.67,6.67,6.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,6.0,2025-09-11
JP_QUANT_035,Japan,51,Female,Team Leader,2.0,Master,Healthcare,Large (> 500),743,4.625,4.125,4.875,3.5,4.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,5.25,5.25,5.25,5.25,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.33,6.67,6.67,5.67,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,6.0,2025-11-27
JP_QUANT_036,Japan,34,Male,Team Leader,12.0,Bachelor,Healthcare,Large (> 500),989,5.125,5.625,5.375,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,6.75,7.0,6.75,6.83,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,3.67,4.67,5.67,6.67,3.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,7.0,2025-09-30
JP_QUANT_037,Japan,46,Male,Senior Executive,7.3,Master,Retail,Small (< 100),41,3.75,3.875,3.625,1.875,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,5.75,4.75,5.75,5.42,5.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,2.33,5.33,6.33,7.0,2.0,3.0,2.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,2025-12-03
JP_QUANT_038,Japan,28,Male,Senior Executive,4.0,Master,Manufacturing,Large (> 500),1762,2.375,2.5,3.25,2.625,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,5.0,4.5,5.25,4.92,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,4.33,5.33,4.33,5.67,4.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,2025-12-25
JP_QUANT_039,Japan,33,Male,Senior Executive,9.8,Bachelor,Manufacturing,Medium (100-500),148,3.5,3.75,4.0,2.875,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,4.25,3.75,5.25,4.42,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,6.0,3.67,6.0,4.33,7.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,4.0,5.0,7.0,7.0,7.0,2025-12-25
JP_QUANT_040,Japan,46,Male,Senior Executive,12.1,Master,Other,Large (> 500),541,4.25,4.25,3.75,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,1.0,3.0,2.0,5.25,4.75,6.0,5.33,5.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,1.67,5.67,6.33,6.67,2.0,1.0,2.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,2025-09-15
